0_ft,5000_ft,10000_ft,15000_ft,20000_ft,25000_ft,30000_ft,35000_ft,40000_ft,45000_ft,thrust_n,engine_name
102.94266666666667,55.63420289855072,44.815999999999995,37.995999999999995,32.77244444444443,27.947999999999997,23.123555555555548,18.299111111111102,13.474666666666678,8.65022222222224,3558.5772922399997,CF6-50C2
103.20344504066,55.973371173572055,45.16670195123243,38.35794239838732,33.14262983741202,28.32567902440416,23.508728211396303,18.691777398388446,13.874826585380603,9.05787577237271,6558.577292239999,CF6-50C2
103.46422341465338,56.31253944859339,45.517403902464864,38.719884796774636,33.51281523037958,28.703358048808315,23.89390086723705,19.084443685665782,14.274986504094528,9.465529322523238,9558.57729224,CF6-50C2
103.72500178864672,56.651707723614734,45.86810585369731,39.081827195161964,33.883000623347144,29.08103707321248,24.279073523077816,19.47710997294314,14.675146422808467,9.873182872673802,12558.577292239997,CF6-50C2
103.98578016264008,56.99087599863607,46.21880780492974,39.44376959354928,34.253186016314714,29.458716097616637,24.664246178918564,19.869776260220483,15.0753063415224,10.28083642282433,15558.577292239997,CF6-50C2
104.24655853663344,57.33004427365741,46.56950975616218,39.805711991936604,34.623371409282285,29.836395122020804,25.049418834759305,20.262442547497812,15.475466260236338,10.688489972974835,18558.57729224,CF6-50C2
104.50733691062678,57.66921254867874,46.920211707394614,40.167654390323925,34.99355680224986,30.214074146424963,25.434591490600067,20.655108834775167,15.87562617895027,11.09614352312537,21558.577292239996,CF6-50C2
104.7681152846201,58.00838082370005,47.27091365862704,40.529596788711245,35.36374219521743,30.591753170829122,25.81976414644081,21.047775122052496,16.275786097664188,11.50379707327587,24558.577292239996,CF6-50C2
105.02889365861347,58.347549098721416,47.62161560985948,40.891539187098566,35.73392758818501,30.969432195233285,26.204936802281562,21.44044140932984,16.675946016378127,11.911450623426383,27558.577292239996,CF6-50C2
105.2896720326068,58.68671737374274,47.97231756109191,41.253481585485886,36.10411298115257,31.347111219637448,26.59010945812232,21.83310769660719,17.076105935092066,12.319104173576921,30558.577292239996,CF6-50C2
105.55045040660016,59.02588564876406,48.32301951232434,41.6154239838732,36.474298374120146,31.7247902440416,26.975282113963054,22.22577398388451,17.47626585380598,12.726757723727435,33558.57729224,CF6-50C2
105.81122878059348,59.36505392378539,48.67372146355677,41.97736638226051,36.84448376708771,32.10246926844576,27.36045476980381,22.618440271161855,17.87642577251991,13.13441127387796,36558.57729223999,CF6-50C2
106.07200715458684,59.70422219880673,49.024423414789204,42.33930878064785,37.21466916005527,32.48014829284992,27.745627425644546,23.01110655843919,18.27658569123384,13.54206482402846,39558.57729223999,CF6-50C2
106.33278552858019,60.043390473828076,49.37512536602164,42.70125117903516,37.58485455302284,32.85782731725408,28.13080008148531,23.403772845716546,18.67674560994779,13.949718374179014,42558.57729223999,CF6-50C2
106.59356390257354,60.38255874884941,49.72582731725408,43.063193577422474,37.95503994599042,33.23550634165824,28.51597273732606,23.79643913299388,19.076905528661698,14.357371924329513,45558.57729223999,CF6-50C2
106.85434227656691,60.72172702387075,50.07652926848652,43.425135975809795,38.325225338957985,33.613185366062396,28.90114539316681,24.189105420271215,19.47706544737563,14.76502547448004,48558.57729223999,CF6-50C2
107.11512065056024,61.06089529889207,50.42723121971895,43.787078374197115,38.695410731925556,33.990864390466555,29.286318049007562,24.581771707548555,19.87722536608957,15.172679024630567,51558.57729223999,CF6-50C2
107.37589902455359,61.40006357391341,50.77793317095138,44.149020772584436,39.065596124893126,34.36854341487072,29.671490704848313,24.974437994825905,20.277385284803497,15.580332574781092,54558.57729223999,CF6-50C2
107.63667739854694,61.73923184893475,51.128635122183816,44.51096317097176,39.4357815178607,34.74622243927488,30.056663360689065,25.36710428210325,20.677545203517422,15.98798612493161,57558.57729223999,CF6-50C2
107.89745577254027,62.07840012395607,51.47933707341625,44.87290556935907,39.80596691082826,35.12390146367903,30.441836016529805,25.75977056938058,21.07770512223135,16.39563967508213,60558.57729223999,CF6-50C2
108.15823414653363,62.41756839897741,51.830039024648684,45.2348479677464,40.17615230379583,35.50158048808319,30.82700867237056,26.152436856657925,21.477865040945286,16.803293225232643,63558.57729223999,CF6-50C2
108.419012520527,62.756736673998745,52.18074097588112,45.59679036613372,40.5463376967634,35.87925951248735,31.212181328211308,26.54510314393526,21.878024959659218,17.210946775383178,66558.57729223999,CF6-50C2
108.67979089452032,63.09590494902008,52.53144292711355,45.95873276452104,40.91652308973097,36.25693853689152,31.597353984052063,26.937769431212608,22.278184878373168,17.618600325533706,69558.57729223999,CF6-50C2
108.94056926851368,63.43507322404142,52.88214487834598,46.32067516290836,41.28670848269854,36.63461756129568,31.98252663989281,27.330435718489948,22.678344797087078,18.02625387568422,72558.57729223999,CF6-50C2
109.20134764250702,63.77424149906274,53.23284682957842,46.68261756129568,41.65689387566611,37.012296585699836,32.36769929573356,27.723102005767288,23.078504715801017,18.43390742583474,75558.57729223999,CF6-50C2
109.46212601650036,64.11340977408408,53.58354878081085,47.04455995968299,42.02707926863368,37.389975610103996,32.752871951574306,28.115768293044624,23.478664634514935,18.84156097598526,78558.57729223999,CF6-50C2
109.72290439049372,64.45257804910541,53.93425073204328,47.40650235807031,42.39726466160125,37.767654634508155,33.13804460741507,28.50843458032197,23.87882455322888,19.24921452613578,81558.57729223999,CF6-50C2
109.98368276448707,64.79174632412675,54.28495268327572,47.76844475645764,42.76745005456882,38.145333658912314,33.523217263255816,28.901100867599318,24.278984471942806,19.656868076286315,84558.57729223999,CF6-50C2
