fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EIN60R_1659,974.2502745628148,0.2090459411882861,599250.4238952845,363180.0718372315,D,f
EIN611_1579,1001.5164273700549,0.20670425560427808,618437.965835318,365785.40036062896,D,f
EIN84X_1515,977.8133183734842,0.26123512714015473,592772.7626913637,329811.98600290716,D,f
EZY16MH_978,923.5364784950541,0.20343438355259874,526615.9747742862,335207.1083820313,D,f
ITY109_1534,947.9278104990624,0.3815957720709419,545153.7450757325,323811.6072316617,D,f
ITY121_1784,986.175720511601,0.34343406719947367,458341.3491151631,308176.24401192367,D,f
VLG41JT_193,951.0588332052605,0.38609828755460207,464524.8954176754,323882.16214060783,D,f
VLG8379_316,955.1841323355723,0.26163606457668,581521.0522669405,323364.7079267353,D,f
VLG98RR_135,966.622929980361,0.2638829127815706,592789.2740534395,329998.727297768,D,f
AUA3SV_1122,1582.7306680806623,0.47021024673866596,2081708.0473855734,1124509.351646319,D,r
DLH4UX_557,1461.7570627917241,0.5211727857900234,2571672.5021541715,1225583.0477596968,D,r
EIN60R_1659,1538.97818086793,0.31069240258167896,1306504.7512981743,649788.1147726327,D,r
EIN611_1579,1558.0428214282133,0.30787301319884935,1101208.4203691334,583669.5115657002,D,r
EIN84X_1515,1542.5769610007073,0.3264888285445011,1222158.4224455208,599836.620432362,D,r
EZY16MH_978,1502.6499696459155,0.2915996646631062,616034.7944644988,305642.369323805,D,r
ITY109_1534,1550.9461393686597,0.48693625542451113,2567032.494765535,1180586.0898224264,D,r
ITY121_1784,1526.4911366892468,0.41702814878867284,1781289.33982113,1096874.7157720923,D,r
VLG41JT_193,1513.8877044655105,0.4980705676284454,572307.5898872167,314117.5429652184,D,r
VLG8379_316,1561.5368654764845,0.40747180386742465,1326287.5998746008,612362.7012960464,D,r
VLG98RR_135,1618.6199200573362,0.328659353801651,1559845.2390739322,807188.1776968986,D,r
AUA3SV_1122,946.3235260324814,0.4070527109079858,622787.8593814522,373058.25952737033,D,n
DLH4UX_557,972.5722147874349,0.39978008820877065,581302.1151337475,336750.8290236145,D,n
EIN60R_1659,974.3070584952604,0.2086728624918785,580944.7514709681,351967.60468415916,D,n
EIN611_1579,1001.6070566994806,0.20628308222032185,599938.9592994899,359254.6199734658,D,n
EIN84X_1515,980.6648326034785,0.2337492777166837,504165.66881869733,287052.46289239824,D,n
EZY16MH_978,923.6181880464042,0.2030873572464684,527823.8205293864,334955.9122555703,D,n
ITY109_1534,948.8171067997956,0.3783887500977069,518503.1269440353,306286.5020314902,D,n
ITY121_1784,986.5479710675595,0.3408510423144301,432957.39828053117,292281.30519263446,D,n
VLG41JT_193,957.8227820287476,0.36333055676698633,453839.23910853267,313504.2712778896,D,n
VLG8379_316,959.377514315986,0.23376566978027546,503506.9293472618,286983.58519922197,D,n
VLG98RR_135,972.3229044526854,0.23389769763717544,508948.8545887321,287509.46320711076,D,n
DLH3A_603,938.8700488141617,0.7036623692488672,851245.6423044205,489213.3481349945,DN,f
EIN60Y_1710,999.9825390970626,0.4418024786174184,836826.8593139648,448546.9862213135,DN,f
EIN611_1579,1001.5164273700549,0.44184181259735184,857293.1446838379,457370.7056121826,DN,f
EIN84T_1587,974.0762016520948,0.5361204712247025,901554.7129211426,562398.6493530273,DN,f
EIN84X_1515,977.8133183734842,0.539749190516937,924073.3445358276,568784.4122085571,DN,f
EJU42KM_1219,804.4968939836115,0.8229688036320695,2720985.900150299,1275149.1463432312,DN,f
EJU5284_1390,799.3573380341496,0.8192674246616235,2509757.01373291,1228813.002746582,DN,f
EZS39RG_1538,962.825002653014,0.6569533301400922,662552.6138253212,481295.27207422256,DN,f
EZY84JU_960,940.1917588362928,0.4399931520995912,753358.6594390869,419989.6435699463,DN,f
ITY113_1804,965.4492643326614,0.6150322965012873,88713.02561950684,88508.66931152344,DN,f
SAS62L_1257,968.3418384092658,0.5585645357488018,1836031.1653747559,1188490.8333892822,DN,f
TRA6875_1499,939.8684062307682,0.7148401850839785,869111.8724746704,470848.0829048157,DN,f
VLG12BR_219,1000.2643078176211,0.7169696782346484,854526.3755531311,615765.6315565109,DN,f
DLH3A_603,1425.486981479282,0.8092715398751066,1933850.6119556427,823986.16304636,DN,r
EIN60Y_1710,1541.8862323891888,0.600575161338657,1220229.6870527267,431649.7963514328,DN,r
EIN611_1579,1558.0428214282133,0.6443800263121742,1718408.6693572998,794194.435623169,DN,r
EIN84T_1587,1421.628624701087,0.7328103967089536,2675350.8878507614,1146343.9038114548,DN,r
EIN84X_1515,1542.5769610007073,0.685799523444983,2728286.9457244873,1191707.8406524658,DN,r
EJU42KM_1219,1193.0691596987044,0.9041595389855925,4395563.900341034,1877879.4696555138,DN,r
EJU5284_1390,1269.119927408341,0.8432291354678225,1921135.9201512337,732897.1615548134,DN,r
EZS39RG_1538,1389.7763727562256,0.6626936466427007,1272341.9146904945,590895.2063565254,DN,r
EZY84JU_960,1430.0440096066582,0.5671224907610615,862762.4717607498,388491.5547323227,DN,r
ITY113_1804,1455.0417263168238,0.7889026100513653,144301.9468612671,113652.1421661377,DN,r
SAS62L_1257,1527.4027261774231,0.6747381634282501,3992870.587368965,1980193.558623314,DN,r
TRA6875_1499,1633.595257145343,0.9663987997365945,1635067.8376655579,940844.8740882874,DN,r
VLG12BR_219,1609.1229892089655,0.8009820501753038,2038357.8660907745,952489.4222278595,DN,r
DLH3A_603,939.4869331810139,0.7009783538418366,869457.9813227654,505801.8355355263,DN,n
EIN60Y_1710,1000.2230853490923,0.4400088477372296,796360.7839202881,440758.5750732422,DN,n
EIN611_1579,1000.5259762428093,0.4425915560961752,790269.2178497314,439006.896484375,DN,n
EIN84T_1587,982.3554587124041,0.48358168373454125,797312.4996833801,500112.6323814392,DN,n
EIN84X_1515,985.2053647332094,0.487763214870375,809309.3606987,504378.03158187866,DN,n
EJU42KM_1219,808.8537353664327,0.7991999023811783,2712693.402786255,1352414.6707305908,DN,n
EJU5284_1390,805.3464226429503,0.7919791863251666,2588807.3614234924,1357887.4861488342,DN,n
EZS39RG_1538,962.8305838444358,0.6564779007269392,735955.2592744827,544472.1618852615,DN,n
EZY84JU_960,940.579257749162,0.43897403816995095,731214.9771575928,404370.4108886719,DN,n
ITY113_1804,984.3989989282244,0.6067196912667572,88225.82706451416,86309.83154296875,DN,n
SAS62L_1257,968.5281784934527,0.5566792602261093,1860745.5552520752,1213530.283355713,DN,n
TRA6875_1499,940.0745608553214,0.712227201346989,879939.4964165688,485702.511739254,DN,n
VLG12BR_219,1007.7199776965541,0.6842502542165153,846150.7077789307,612502.6827230453,DN,n
