fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3NA_1248,950.6826725426707,0.3525080673342751,431317.2052035928,267823.23726785183,N,f
AUA3NA_1264,912.5171466835852,0.3657403724116893,433044.3711220622,261968.55651903152,N,f
EIN611_1587,968.4429122375541,0.21111642241461476,532155.5969389081,310657.99770742655,N,f
EIN611_1606,987.7965045293586,0.21100797255441164,546895.2914119363,316573.0242307782,N,f
EIN84T_1564,933.2142125557152,0.24114766078647912,446116.31549978256,273642.6173914671,N,f
EIN84T_1633,960.2016732566428,0.24714812953700252,502259.7595361471,277104.23828685284,N,f
EIN84X_1589,973.4266698598444,0.24231218290737266,499859.8144181967,276890.6476191282,N,f
EJU13CB_1081,986.1927489847274,0.29831634454394396,303685.7243734002,237305.66339671612,N,f
EJU78CP_1097,1045.975131129554,0.2962639741389953,349629.4923539758,253942.68185818195,N,f
VLG139G_110,1011.8609514578716,0.3464681344541217,364859.20416623354,279363.3822315335,N,f
VLG49VA_328,918.3038683136458,0.3915821633145977,387900.69960957766,281469.9753206372,N,f
AUA3NA_1248,1408.7172435326718,0.3458775610716056,1291242.875559926,501586.70010095835,N,r
AUA3NA_1264,1520.852781052718,0.4287157620779691,1210051.6632964015,627411.2006117702,N,r
EIN611_1587,1540.5092842443078,0.2600519991456817,1191610.3812350035,673466.1202792525,N,r
EIN611_1606,1536.3135501428603,0.3272687463162552,1625984.3725514412,694124.001683414,N,r
EIN84T_1564,1500.9466738968526,0.3135341096130031,1133141.413971603,547471.2556152344,N,r
EIN84T_1633,1604.300364087907,0.37530337561153626,875013.2639557123,534808.091412127,N,r
EIN84X_1589,1551.9439916153092,0.38112040638527167,1916893.0066033602,726874.6381998062,N,r
EJU13CB_1081,1485.0570528874264,0.3468078122553213,1193339.3086340427,924396.298574686,N,r
EJU78CP_1097,1447.3073048028964,0.374219317567748,838336.4508087635,396474.7578342557,N,r
VLG139G_110,1548.3226918539444,0.359429344808421,657242.821110785,341513.75574326515,N,r
VLG49VA_328,1466.9334261078102,0.45632141255824277,1772285.9342223406,942914.4006803632,N,r
AUA3NA_1248,980.0681154222589,0.309281057807467,455079.6519730091,317429.21236282587,N,n
AUA3NA_1264,951.8968175300508,0.3096772007006139,470976.9563689232,311166.17770916224,N,n
EIN611_1587,969.0917570429747,0.2091551694884573,499499.39794045687,297438.8199492097,N,n
EIN611_1606,988.9963609264438,0.2088047373163049,522786.2157705426,310762.726280272,N,n
EIN84T_1564,947.3182111955118,0.2120907703490355,373940.10329663754,224307.6643513441,N,n
EIN84T_1633,977.2061012011877,0.21742152701174883,418816.5993819237,238593.83170211315,N,n
EIN84X_1589,988.9235152697919,0.2161152758050896,426338.2365742922,241819.32885992527,N,n
EJU13CB_1081,1008.3032785417045,0.2859056633105296,287642.4769447446,220999.78030526638,N,n
EJU78CP_1097,1053.1188965133465,0.2894420880456038,323904.52505904436,230912.75933992863,N,n
VLG139G_110,1030.4442065294008,0.30769824148640446,347097.00748711824,264415.8357363343,N,n
VLG49VA_328,947.052753888014,0.334361139451171,381199.99655753374,279266.62802511454,N,n
AUA3SV_1122,942.0397539455935,0.4173699133866202,594616.8917643279,339690.7090191394,D,f
DLH4UX_557,971.1488077405952,0.40373296872783193,590985.3786346167,348189.43214948475,D,f
