ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,num,cost_grid
0.0,23108.223717433975,70165.93582059715,30.480000059951593,52.31661999911831,4.746299998554893,100.0,0.5,330.63,3500.0,198.75,35.8,62364.0,107773.0,id8,0.0,0.08606137125324444
21.0,21989.16865909258,66869.29419606755,397.15477877975485,52.28701879438845,4.729621376201093,1303.0,0.5792,381.4,3500.0,198.48,34.26,62330.0,96745.0,id8,0.0,0.0773309737125832
41.0,20714.77106149413,63055.12208828944,763.8295575808559,52.252766889247845,4.71065093142454,2506.0,0.6544,429.11,3500.0,198.48,32.43,62298.0,87458.0,id8,0.0,0.06606085896503516
62.0,19279.768511209957,58760.27193603568,1130.504336425221,52.214194781697735,4.689324787413866,3709.0,0.7228,471.97,3500.0,198.48,30.53,62267.0,79834.0,id8,0.0,0.05581949272373568
82.0,17700.592894248097,54033.923092167446,1497.179115294468,52.171742944685604,4.665898794170082,4912.0,0.7833,509.32,3500.0,198.48,28.73,62238.0,73648.0,id8,0.0,0.04850295809350801
103.0,15995.81799317642,48931.665431939364,1863.8538941794425,52.12590951578443,4.640659751808785,6115.0,0.82,530.89,3500.0,198.48,27.5,62211.0,69810.0,id8,0.0,0.047979657886080294
124.0,14218.557617708002,43612.46442491965,2230.5286730668054,52.078121567455284,4.614402786250922,7318.0,0.82,528.59,3500.0,198.48,27.17,62184.0,68830.0,id8,0.0,0.04780150880289446
144.0,12449.052875081414,38316.47541636798,2597.203451949911,52.030536374090126,4.58831619411611,8521.0,0.82,526.28,3500.0,198.48,26.84,62157.0,67867.0,id8,0.0,0.04747766624499668
165.0,10687.337905339975,33043.8005852173,2963.8782308278405,51.98315495180207,4.562399539641841,9724.0,0.82,523.97,3500.0,198.48,26.51,62130.0,66923.0,id8,0.0,0.0468838468568204
186.0,8933.447303374734,27794.54347167379,3330.553009699553,51.935978328360555,4.536652399064046,10927.0,0.82,521.64,3500.0,198.48,26.52,62104.0,66941.0,id8,0.0,0.044129489363295686
206.0,7187.416129109931,22568.809007711323,3697.227788563868,51.889007543475,4.511074360676207,12130.0,0.82,519.3,3500.0,198.48,26.6,62077.0,67158.0,id8,0.0,0.039544940693763006
227.0,5449.279918011093,17366.70354852964,4063.9025674194363,51.842243649086846,4.485665024893115,13333.0,0.82,516.95,3500.0,198.48,26.64,62050.0,67283.0,id8,0.0,0.035052465766533134
247.0,3719.0746919289263,12188.33490501626,4430.577346264696,51.79568770966894,4.4604240043188765,14536.0,0.82,514.59,3500.0,198.48,26.65,62024.0,67312.0,id8,0.0,0.030619819769488674
268.0,1996.8369702929,7033.8123772536965,4797.252125097834,51.7493408025249,4.4353509238157285,15739.0,0.82,512.22,3500.0,198.48,26.63,61997.0,67247.0,id8,0.0,0.026454378496382606
289.0,282.6037816693153,1903.2467891167425,5163.926903916714,51.70320401790055,4.410445420506253,16942.0,0.82,509.84,3500.0,198.48,26.57,61971.0,67087.0,id8,0.0,0.02374733915160974
309.0,-1423.5873243004091,-3203.2494759929277,5530.601682718802,51.65727842708258,4.385707267837731,18145.0,0.82,507.45,3500.0,198.48,26.48,61944.0,66832.0,id8,0.0,0.021158403117590326
330.0,-3121.698264564644,-8285.562438224948,5897.276461501052,51.61156517359907,4.361136075878682,19348.0,0.82,505.05,3433.0,198.48,26.36,61918.0,66483.0,id8,0.0,0.01884456458251225
351.0,-4811.916787676793,-13344.254014026852,6256.983289913127,51.56605930199088,4.336728180825167,20528.0,0.82,502.68,2933.0,198.48,26.21,61892.0,66051.0,id8,0.0,0.004611812060956448
371.0,-6495.7521880480535,-18383.841403032646,6564.308007309602,51.52072025989585,4.31246099530409,21536.0,0.8132,496.5,2433.0,198.48,26.14,61865.0,65863.0,id8,0.0,0.0
392.0,-8160.248385721952,-23365.548073039434,6819.250613576991,51.47589703575995,4.288519967012643,22373.0,0.8013,487.58,1933.0,198.48,26.14,61839.0,65853.0,id8,0.0,0.0
412.0,-9796.067345534444,-28261.42601640813,7021.811108686343,51.43184132135584,4.265037212273752,23037.0,0.7853,476.57,1433.0,198.48,25.44,61814.0,63901.0,id8,0.0,0.0
433.0,-11396.0208028131,-33049.96132010209,7171.9894926358675,51.38874700388076,4.24211308916488,23530.0,0.7502,454.31,933.0,198.48,21.94,61792.0,54772.0,id8,0.0,0.0
454.0,-12922.133033601585,-37617.49561842882,7269.785765448171,51.3476374204895,4.220287164090064,23851.0,0.7021,424.65,433.0,198.48,17.85,61774.0,44946.0,id8,0.0,0.0
474.0,-14349.346201948518,-41889.03277220098,7315.199927220754,51.3091882632709,4.199911065862661,24000.0,0.6619,400.05,-0.0,198.48,14.12,61760.0,36407.0,id8,0.0,0.0
495.0,-15694.361960081127,-45914.559517499365,7315.199927213161,51.27295027572044,4.180739715842354,24000.0,0.6618,400.0,-0.0,198.48,14.12,61746.0,36398.0,id8,0.0,0.0
516.0,-17039.205564841523,-49939.57101898012,7315.199927199742,51.236713801422184,4.161601030498081,24000.0,0.6617,399.95,-0.0,198.48,14.12,61732.0,36390.0,id8,0.0,0.0
536.0,-18383.87706024003,-53964.06740806804,7315.19992718083,51.200478849352564,4.142494913579182,24000.0,0.6616,399.9,-0.0,198.48,14.11,61718.0,36381.0,id8,0.0,0.0
557.0,-19728.37648879243,-57988.04881168636,7315.1999271567265,51.1642454284887,4.123421269216902,24000.0,0.6615,399.85,-0.0,198.48,14.11,61703.0,36372.0,id8,0.0,0.0
577.0,-21072.70389300818,-62011.51535671098,7315.199927127722,51.12801354776857,4.104380001901495,24000.0,0.6614,399.8,-0.0,198.48,14.1,61689.0,36363.0,id8,0.0,0.0
598.0,-22416.85931539143,-66034.46716998231,7315.199927094065,51.09178321609102,4.085371016480595,24000.0,0.6613,399.75,-0.0,198.48,14.1,61675.0,36354.0,id8,0.0,0.0
619.0,-23760.842797120193,-70056.90437431376,7315.199927056002,51.05555444235195,4.066394218176201,24000.0,0.6613,399.69,-0.0,198.48,14.1,61661.0,36345.0,id8,0.0,0.0
0.0,23108.223726516524,70165.93582194441,30.48000006617608,52.31661999913005,4.746299998688601,100.0,0.5,330.63,3500.0,198.75,35.79,62364.0,107773.0,id7,0.0001,0.08606137126167217
21.0,21989.505040472424,66870.28496281111,397.044345253267,52.28702769103146,4.729626386336058,1303.0,0.5792,381.39,3500.0,194.37,34.25,62330.0,96746.0,id7,0.0001,0.0773342654073334
41.0,20991.578977294805,62976.04357777772,763.6086905067976,52.252045254995764,4.71471234672946,2505.0,0.6543,429.08,3500.0,194.85,32.42,62298.0,87464.0,id7,0.0001,0.06591674494310545
62.0,19831.427034794797,58600.66169892199,1130.173035797577,52.21273983542322,4.697412330648234,3708.0,0.7227,471.93,3500.0,195.66,30.52,62267.0,79840.0,id7,0.0001,0.05535437004333628
82.0,18486.885222517725,53804.26323023385,1496.737381111492,52.1696518273677,4.677416005619741,4911.0,0.7832,509.28,3500.0,196.57,28.72,62238.0,73654.0,id7,0.0001,0.047585299613026585
103.0,16953.347740636447,48650.12482763508,1863.3017264410562,52.123349056999814,4.654671972241761,6113.0,0.82,530.89,3500.0,197.28,27.49,62211.0,69812.0,id7,0.0001,0.04729127424895882
124.0,15288.385403024147,43296.437777225336,2229.8660717706252,52.07525098694558,4.6300431267089035,7316.0,0.82,528.6,3500.0,197.91,27.16,62184.0,68831.0,id7,0.0001,0.047091580260457455
144.0,13571.287698524633,37984.94266583921,2596.4304170913288,52.0275285106156,4.604706971566154,8518.0,0.82,526.29,3500.0,198.41,26.83,62157.0,67869.0,id7,0.0001,0.047018451201350404
165.0,11816.24538808343,32711.748980938653,2962.9947624019005,51.98014587067912,4.578872151111222,9721.0,0.82,523.97,3500.0,198.66,26.51,62130.0,66926.0,id7,0.0001,0.04665816676163445
186.0,10045.738597983602,27469.765459216178,3329.559107700903,51.93303854769686,4.552867294326319,10924.0,0.82,521.65,3500.0,199.04,26.51,62104.0,66939.0,id7,0.0001,0.043679090867026
206.0,8248.465253846547,22263.11254866929,3696.1234529868107,51.88624363887828,4.526527841903181,12126.0,0.82,519.31,3500.0,199.32,26.59,62077.0,67158.0,id7,0.0001,0.0392627596328356
227.0,6434.796078122325,17088.52361044311,4062.6877982579394,51.83973140886757,4.500005137423705,13329.0,0.82,516.96,3500.0,199.47,26.63,62051.0,67282.0,id7,0.0001,0.03492004431206999
247.0,4615.12118531565,11942.564954850588,4429.2521435123235,51.793470753813544,4.473450240554845,14532.0,0.82,514.6,3500.0,199.53,26.64,62024.0,67312.0,id7,0.0001,0.030608795633384627
268.0,2799.1337928313005,6821.955838420339,4795.816488747667,51.747432084341426,4.447003540960042,15734.0,0.82,512.23,3500.0,199.45,26.62,61997.0,67248.0,id7,0.0001,0.02657348303967615
289.0,998.0214109303358,1722.8595511659385,5162.380833961264,51.70158093412152,4.420826610143041,16937.0,0.82,509.85,3500.0,199.37,26.56,61971.0,67088.0,id7,0.0001,0.02383776994650485
309.0,-786.7933907316744,-3355.0894250633405,5528.945179149891,51.655914166002844,4.394939019125468,18140.0,0.82,507.46,3500.0,199.2,26.48,61944.0,66833.0,id7,0.0001,0.021323569188112713
330.0,-2548.1853366901987,-8414.236499007455,5895.50952430974,51.61041088980513,4.369442680486371,19342.0,0.82,505.06,3436.0,199.04,26.35,61918.0,66485.0,id7,0.0001,0.018966966428509084
350.0,-4287.333456759635,-13454.71755584568,6255.42144319465,51.56507013993233,4.3443189863561384,20523.0,0.82,502.69,2936.0,198.99,26.2,61892.0,66053.0,id7,0.0001,0.004711858735228636
371.0,-6015.502560761395,-18477.671146110835,6562.967027444518,51.51988178200868,4.319403729154594,21532.0,0.8136,496.72,2436.0,198.99,26.13,61866.0,65852.0,id7,0.0001,0.0
392.0,-7724.502483602732,-23445.110753643683,6818.146276887757,51.47518766888349,4.294813421703801,22369.0,0.8018,487.86,1936.0,198.99,26.13,61839.0,65840.0,id7,0.0001,0.0
412.0,-9404.251672153603,-28327.529140684153,7020.959191479085,51.43125352485635,4.270690911232476,23035.0,0.7861,477.01,1436.0,198.99,25.46,61814.0,63985.0,id7,0.0001,0.0
433.0,-11047.77385663414,-33104.6488343744,7171.405771217364,51.38826212181548,4.247133514669256,23528.0,0.7519,455.37,936.0,198.99,21.99,61792.0,54915.0,id7,0.0001,0.0
454.0,-12617.644445261654,-37667.690192640934,7269.486016143316,51.34719290142493,4.22467310438886,23850.0,0.7036,425.57,436.0,198.99,17.89,61774.0,45072.0,id7,0.0001,0.0
