cluster,num_flights,centroid_id,mean_vertical_rate,mean_final_altitude,mean_groundspeed,mean_duration,mean_distance,mean_final_latitude,mean_final_longitude,max_rwy,max_rwy_flights,idd_max_rwy,idd_max_rwy_flights
0,149,AUA3NA_1248,1901.1436241610736,33325.1677852349,370.33204988674817,1038.7986577181207,199.3843933683302,51.29827151332695,6.982696300709332,18L,85,24,247
1,8,AUA3NA_1264,1923.2,35950.0,359.96560325383064,1109.0,206.96597114211505,51.45846961716474,6.988032830728066,36L,6,24,247
3,68,EIN611_1587,1723.9764705882353,34193.56617647059,355.18837070240124,1173.3676470588234,216.19365173209883,53.063794163621196,2.0498910150608096,24,54,24,247
2,80,EIN611_1606,1748.4600000000003,33729.375,360.874945395405,1134.075,212.94186356344238,53.127379950830495,2.024731176039752,36L,79,24,247
4,40,EIN84T_1564,1803.64,33650.0,347.8916820866647,1110.5,200.15641542552277,51.769840912899724,2.0191353462837838,24,33,24,247
5,10,EIN84T_1633,1615.36,31302.5,366.9443341527166,1138.1,216.9637518217819,51.796733869132346,2.033994520032728,36L,10,24,247
6,13,EIN84X_1589,1785.2307692307695,33934.61538461538,369.57389457047276,1130.076923076923,217.0886762947909,51.8082483682048,2.024544140617749,36L,13,24,247
7,18,EJU13CB_1081,1846.1333333333334,35109.72222222222,370.66536498884795,1130.9444444444443,217.64427703169872,50.52129346772102,5.861689539077781,18L,11,24,247
9,8,EJU78CP_1097,1827.6,34071.875,379.5962101280892,1101.875,217.48079801748978,50.517794366610254,5.913902434651576,18L,5,24,247
10,299,VLG139G_110,1698.8307692307692,34088.46153846154,355.06787687307303,1184.6153846153845,217.5971588636025,50.49973745645021,3.7693449659828504,24,138,24,247
8,75,VLG49VA_328,1714.432,33195.666666666664,371.19138273213946,1130.8266666666666,217.78617179036618,50.67367934404793,3.8952612958738952,36L,45,24,247
