ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,num,cost_grid
0.0,23108.087689927932,59046.49299266093,30.4800000137658,52.316619999144656,4.7462999993151715,100.0,0.5,330.63,3500.0,201.89,31.1,62369.0,107773.0,id4,0.0,0.08606137129433122
18.0,21980.28114314836,56239.607321002746,348.9959994116507,52.29142361522973,4.729524579897243,1145.0,0.5688,374.74,3500.0,201.62,29.96,62339.0,98114.0,id4,0.0,0.07878553012963467
36.0,20715.77010006633,53048.36291914194,667.5119997129697,52.26277343375857,4.710735726833083,2190.0,0.6347,416.64,3500.0,201.62,28.61,62310.0,89783.0,id4,0.0,0.06909918633483568
54.0,19308.724993745254,49497.405487866716,986.0280004388676,52.230890339754254,4.6898575367343405,3235.0,0.6958,455.09,3500.0,201.62,27.19,62283.0,82739.0,id4,0.0,0.059894509405797006
72.0,17770.99565924265,45616.64046877234,1304.544001398349,52.19604178609672,4.6670744818456,4280.0,0.7512,489.51,3500.0,201.62,25.79,62257.0,76847.0,id4,0.0,0.05266297446658141
90.0,16116.364730790874,41440.851072933336,1623.0600025010342,52.15853907574136,4.642599276829255,5325.0,0.8006,519.79,3500.0,201.62,24.49,62233.0,71937.0,id4,0.0,0.048982924746985484
107.0,14358.885035221454,37005.50239681271,1941.5760037008868,52.11869972962382,4.616647869321433,6370.0,0.82,530.4,3500.0,201.62,23.82,62209.0,69601.0,id4,0.0,0.04886611957292952
125.0,12565.409020221365,32479.309855848853,2260.0920049009305,52.07803854062707,4.5902127140628,7415.0,0.82,528.41,3500.0,201.62,23.58,62185.0,68751.0,id4,0.0,0.04857135103399254
143.0,10778.738215746112,27970.291604110407,2578.608006072003,52.03752576889178,4.563925709050048,8460.0,0.82,526.4,3500.0,201.62,23.33,62162.0,67915.0,id4,0.0,0.04770144816038623
161.0,8998.898638982459,23478.513302781754,2897.1240072085266,51.997162090454026,4.537786542103835,9505.0,0.82,524.39,3500.0,201.62,23.08,62139.0,67093.0,id4,0.0,0.04729227321507637
179.0,7225.916607841444,19004.04137189535,3215.6400083042226,51.95694818773957,4.511794908736379,10550.0,0.82,522.37,3500.0,201.62,23.01,62116.0,66853.0,id4,0.0,0.04668699111627431
197.0,5459.818746806677,14546.943005050847,3534.1560093519793,51.91688474970193,4.485950512188702,11595.0,0.82,520.34,3500.0,201.62,23.08,62093.0,67073.0,id4,0.0,0.042487428723252646
215.0,3700.6319929303286,10107.286184540311,3852.6720103436805,51.87697247196275,4.460253063469241,12640.0,0.82,518.31,3500.0,201.62,23.12,62070.0,67222.0,id4,0.0,0.03834375655007307
233.0,1948.3836019656646,5685.139696900687,4171.188011269995,51.837212056946946,4.434702281389376,13685.0,0.82,516.26,3500.0,201.62,23.15,62047.0,67301.0,id4,0.0,0.03421617144107579
251.0,203.10115470498235,1280.5731488842155,4489.704012120092,51.79760421377454,4.4092978924950526,14730.0,0.82,514.21,3500.0,201.62,23.15,62024.0,67308.0,id4,0.0,0.030102184055905885
269.0,-1535.1874365373455,-3106.3430161099245,4808.220012881268,51.758149623650056,4.384039751805019,15775.0,0.82,512.15,3500.0,201.62,23.13,62000.0,67244.0,id4,0.0,0.02571046924693783
287.0,-3266.453921234554,-7475.5375011463675,5126.736013538487,51.71884904071024,4.35892752963389,16820.0,0.82,510.09,3500.0,201.62,23.09,61977.0,67107.0,id4,0.0,0.023020018119049517
305.0,-4990.669704303082,-11826.938139722248,5445.251999237042,51.679703201815975,4.333960927552666,17865.0,0.82,508.01,3000.0,201.62,23.03,61954.0,66899.0,id4,0.0,0.020740061644921818
322.0,-6709.367219904666,-16164.412332395343,5718.265700747042,51.640677389687795,4.309117153750445,18761.0,0.8175,504.69,2500.0,201.62,22.99,61931.0,66774.0,id4,0.0,0.0187902754523746
340.0,-8418.198960415355,-20476.988279937366,5945.777117232059,51.60187040816168,4.284458349879922,19507.0,0.8026,494.01,2000.0,201.62,23.11,61908.0,67167.0,id4,0.0,0.01712011640283006
358.0,-10091.99239082776,-24701.13809467817,6127.786248468457,51.56385413521682,4.260345983444478,20104.0,0.7776,477.5,1500.0,201.62,23.34,61885.0,67958.0,id4,0.0,0.010045217959452001
376.0,-11710.834345343073,-28786.606950887854,6264.293094409726,51.52708126312865,4.237063563297756,20552.0,0.72,441.35,1000.0,201.62,19.96,61865.0,57374.0,id4,0.0,0.0039093064058979814
394.0,-13207.906001571959,-32564.764292714408,6355.297655141641,51.49307037468554,4.215565908604666,20851.0,0.67,410.17,500.0,201.62,16.25,61849.0,46951.0,id4,0.0,0.0
412.0,-14599.879318997457,-36077.685117595145,6400.799931124924,51.46144361901596,4.195606205273655,21000.0,0.6232,381.29,0.0,201.62,12.33,61836.0,36573.0,id4,0.0,0.0
430.0,-15894.32379541432,-39344.472555048116,6400.7999321917405,51.432029760782456,4.177069790853676,21000.0,0.6231,381.24,0.0,201.62,12.33,61824.0,36564.0,id4,0.0,0.0
448.0,-17188.62392003697,-42610.895683024675,6400.7999331085775,51.40261626399119,4.158559292981988,21000.0,0.623,381.2,0.0,201.62,12.33,61812.0,36557.0,id4,0.0,0.0
466.0,-18482.77973695984,-45876.954611703135,6400.799934001683,51.3732031354468,4.140074649677497,21000.0,0.6229,381.16,0.0,201.62,12.32,61799.0,36549.0,id4,0.0,0.0
484.0,-19776.791277919147,-49142.64941998303,6400.799934872066,51.343790382210706,4.121615799321273,21000.0,0.6229,381.12,0.0,201.62,12.32,61787.0,36541.0,id4,0.0,0.0
502.0,-21070.6585746982,-52407.98018680069,6400.799935720675,51.31437801131921,4.1031826804781355,21000.0,0.6228,381.07,0.0,201.62,12.32,61775.0,36533.0,id4,0.0,0.0
520.0,-22364.38165913043,-55672.94699118099,6400.799936548393,51.28496602978315,4.08477523189595,21000.0,0.6227,381.03,0.0,201.62,12.31,61762.0,36525.0,id4,0.0,0.0
537.0,-23657.96055421383,-58937.54988955776,6400.799937356052,51.25555444479233,4.066393392631148,21000.0,0.6227,380.99,0.0,201.62,12.31,61750.0,36518.0,id4,0.0,0.0
0.0,23108.08783577688,59046.49298800609,30.48000030371818,52.31661999909665,4.746300001460482,100.0,0.5,330.63,3500.0,201.89,31.42,62369.0,107773.0,id3,0.001,0.08606137138493729
18.0,21968.38609885706,56210.00227239499,352.3616853267378,52.29115784888989,4.7293477501922,1156.0,0.5695,375.2,3500.0,196.89,30.26,62338.0,98018.0,id3,0.001,0.07871224330422026
36.0,20959.28524928025,52886.62860469303,674.243370349818,52.261309721194756,4.71430374234721,2212.0,0.636,417.52,3500.0,191.89,28.89,62309.0,89617.0,id3,0.001,0.0687621757761063
54.0,20162.325354031233,49101.592859903656,996.1250553728723,52.22730017425395,4.702367262335962,3268.0,0.6977,456.29,3500.0,186.89,27.43,62282.0,82530.0,id3,0.001,0.058955435999403866
72.0,19654.91814458099,44902.61818139916,1318.0067403958724,52.18955657127182,4.694672902056703,4324.0,0.7535,490.93,3500.0,181.89,26.0,62256.0,76614.0,id3,0.001,0.05045007711674291
91.0,19504.759292485745,40352.784402263045,1639.8884254188174,52.14864463757968,4.692207603308244,5380.0,0.8032,521.36,3500.0,183.18,24.68,62231.0,71692.0,id3,0.001,0.04615684582377157
109.0,19236.29192922701,35524.49627264299,1961.7701104417079,52.105232600692794,4.687998794449667,6436.0,0.82,530.28,3500.0,188.06,24.06,62207.0,69547.0,id3,0.001,0.04525983339277551
127.0,18546.887750458314,30654.31380476508,2283.651795464514,52.06145791209905,4.677638743274023,7492.0,0.82,528.26,3500.0,192.29,23.81,62183.0,68689.0,id3,0.001,0.044642388532048806
145.0,17503.582310277692,25866.81127802617,2605.5334804872177,52.01843715294358,4.662131727060498,8548.0,0.82,526.23,3500.0,196.14,23.56,62160.0,67846.0,id3,0.001,0.0442897654257176
163.0,16147.071029066166,21178.18086222403,2927.4151655098085,51.97631272921528,4.642086663568176,9604.0,0.82,524.2,3500.0,199.96,23.3,62137.0,67016.0,id3,0.001,0.044249117547304255
181.0,14487.131027290743,16608.422814262773,3249.2968505322833,51.935261936164856,4.6176585619679225,10660.0,0.82,522.16,3500.0,204.06,23.26,62113.0,66879.0,id3,0.001,0.042561969095946534
199.0,12512.98708824108,12186.256311924362,3571.178535554638,51.89554056517601,4.588701670603049,11716.0,0.82,520.11,3500.0,206.29,23.33,62090.0,67094.0,id3,0.001,0.03988212268404992
217.0,10376.43656554481,7861.598610243666,3893.0602205768755,51.85669205759322,4.5574341846951665,12773.0,0.82,518.05,3500.0,207.66,23.37,62067.0,67236.0,id3,0.001,0.03658932011828054
235.0,8145.983591089457,3606.3308781573264,4214.941905598998,51.81846068359156,4.524856195466512,13829.0,0.82,515.98,3500.0,208.7,23.39,62043.0,67306.0,id3,0.001,0.0332166734303912
253.0,5848.337371860263,-591.020361603453,4536.823590621003,51.78074187481664,4.491357704074458,14885.0,0.82,513.91,3500.0,209.39,23.39,62020.0,67303.0,id3,0.001,0.02973167882678634
272.0,3509.225379817298,-4743.152629318485,4858.705275642895,51.74342048994202,4.457313340672691,15941.0,0.82,511.83,3500.0,209.41,23.37,61996.0,67226.0,id3,0.001,0.02646998639154758
290.0,1178.616381736259,-8877.716779875513,5180.586960664678,51.706247285344375,4.423448619664197,16997.0,0.82,509.73,3500.0,209.25,23.32,61973.0,67077.0,id3,0.001,0.02402263017285024
308.0,-1130.7775875639188,-13001.764584839095,5502.4686456773225,51.6691589330808,4.389948127160517,18053.0,0.82,507.64,3000.0,208.38,23.25,61950.0,66854.0,id3,0.001,0.021690948733180143
326.0,-3370.2213603655005,-17146.783885408906,5778.367232832855,51.631872832141106,4.357515480410415,18958.0,0.82,505.83,2500.0,207.31,23.18,61927.0,66606.0,id3,0.001,0.0194936054271111
344.0,-5525.748634203091,-21321.41463464781,6008.282722129392,51.594312338230125,4.326351438900378,19712.0,0.8136,500.38,2000.0,206.43,23.18,61904.0,66625.0,id3,0.001,0.01720616799859608
362.0,-7595.575628342365,-25486.423983413704,6192.215113566402,51.55683129508754,4.296478332524962,20316.0,0.7882,483.6,1500.0,205.89,23.43,61880.0,67419.0,id3,0.001,0.007339300874476708
380.0,-9559.568679790696,-29532.698835374023,6330.164407143728,51.52041228960135,4.2681807814251504,20768.0,0.7171,439.2,1000.0,205.62,20.02,61860.0,56932.0,id3,0.001,0.0010386797908919763
398.0,-11326.652731483931,-33217.799461699346,6422.130602861428,51.48723859512796,4.242760440216569,21070.0,0.6668,407.9,500.0,205.62,16.27,61844.0,46561.0,id3,0.001,0.0
416.0,-12968.384836828956,-36642.00562127609,6468.113700719885,51.45640858563804,4.219176505842455,21221.0,0.6206,379.4,0.0,205.62,12.34,61831.0,36268.0,id3,0.001,0.0
434.0,-14495.980145972117,-39828.15350074188,6468.113700720342,51.427717698688284,4.197260786378121,21221.0,0.6205,379.35,-0.0,205.62,12.34,61819.0,36260.0,id3,0.001,0.0
453.0,-16023.404370169821,-43013.94454357002,6468.113700541848,51.39902594124253,4.175375034401217,21221.0,0.6205,379.31,-0.0,205.62,12.34,61807.0,36252.0,id3,0.001,0.0
471.0,-17550.657546385723,-46199.378826852895,6468.113700363325,51.37033332327645,4.153519181331147,21221.0,0.6204,379.27,-0.0,205.62,12.34,61794.0,36245.0,id3,0.001,0.0
489.0,-19077.739711082835,-49384.456426638215,6468.113700184774,51.34163985474462,4.131693158787878,21221.0,0.6203,379.23,-0.0,205.62,12.33,61782.0,36237.0,id3,0.001,0.0
507.0,-20604.650900709312,-52569.17741894251,6468.113700006195,51.31294554557076,4.109896898584013,21221.0,0.6203,379.18,-0.0,205.62,12.33,61770.0,36229.0,id3,0.001,0.0
525.0,-22131.39115169852,-55753.541879751276,6468.1136998275915,51.28425040564733,4.088130332723954,21221.0,0.6202,379.14,-0.0,205.62,12.33,61757.0,36221.0,id3,0.001,0.0
543.0,-23657.96050041712,-58937.549884931555,6468.1136996489595,51.255554444836186,4.06639339340386,21221.0,0.6201,379.1,-0.0,205.62,12.32,61745.0,36213.0,id3,0.001,0.0
0.0,23108.087736033372,59046.49308798559,30.480000000000402,52.31661999999999,4.746300000000013,100.0,0.4999,330.57,3499.0,201.89,32.12,62368.0,107784.0,id2,0.004,0.08606137148349093
19.0,21943.3171843755,56147.611378736525,359.3885296059762,52.2905977611729,4.728975087053102,1179.0,0.5707,376.0,3499.0,196.9,30.91,62337.0,97846.0,id2,0.004,0.07850645974473834
37.0,20908.964288878524,52743.5439319143,688.2957260667706,52.26002485678198,4.713555479030242,2258.0,0.6378,418.63,3499.0,191.92,29.48,62307.0,89381.0,id2,0.004,0.06834446627563671
56.0,20090.393771630886,48864.71836256736,1017.1929092475368,52.22517255858899,4.701297052650933,3337.0,0.6898,451.01,3498.0,186.94,28.18,62279.0,83166.0,id2,0.004,0.05837152990674455
74.0,19574.309582676393,44623.01477270364,1346.0768900645676,52.18704492683823,4.693474214918935,4416.0,0.7108,462.98,3498.0,181.97,27.47,62252.0,80119.0,id2,0.004,0.04990031363901581
93.0,19423.6084723591,40238.480122946356,1674.9481791359178,52.14761954402388,4.691011701930744,5495.0,0.7393,479.67,3498.0,177.02,26.58,62225.0,76626.0,id2,0.004,0.04594805931239125
111.0,19659.550270759006,35698.54675889461,2003.8080574557837,52.10678297152523,4.694206092179429,6574.0,0.7662,495.27,3498.0,172.16,25.73,62200.0,73461.0,id2,0.004,0.04453585434422118
130.0,20299.538679008285,31047.873551077133,2332.6563070471047,52.06493574453044,4.703298842583995,7653.0,0.7889,507.9,3498.0,170.52,24.97,62175.0,70804.0,id2,0.004,0.042889692500155174
148.0,21092.26418251481,26298.431692814225,2661.4926195098296,52.0221937947408,4.714600796152851,8732.0,0.8056,516.65,3498.0,175.26,24.34,62150.0,68701.0,id2,0.004,0.04119698422820906
