fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3NA_1248,950.6826725426707,0.3525080673342751,63805.463759064674,55358.42096507549,N,f
AUA3NA_1264,912.5171466835852,0.3657403724116893,67210.14578771591,57446.92826116085,N,f
EIN611_1587,968.4429122375541,0.21111642241461476,105413.11376857758,102671.69833135605,N,f
EIN611_1606,987.7965045293586,0.21100797255441164,102299.99792456627,93608.86031937599,N,f
EIN84T_1564,933.2142125557152,0.24114766078647912,110365.62595510483,93899.63509821892,N,f
EIN84T_1633,960.2016732566428,0.24714812953700252,133053.6953139305,103107.44263339043,N,f
EIN84X_1589,973.4266698598444,0.24231218290737266,127317.45530462265,98633.90533709526,N,f
EJU13CB_1081,986.1927489847274,0.29831634454394396,41718.71437340975,41715.76872640848,N,f
EJU78CP_1097,1045.975131129554,0.2962639741389953,50263.36890488863,48947.646692335606,N,f
VLG139G_110,1011.8609514578716,0.3464681344541217,35517.224335193634,31027.251966238022,N,f
VLG49VA_328,918.3038683136458,0.3915821633145977,39027.55694437027,33630.72667193413,N,f
AUA3NA_1248,1408.7172435326718,0.3458775610716056,424642.24967992306,170419.28680855036,N,r
AUA3NA_1264,1520.852781052718,0.4287157620779691,250759.46918541193,203624.4205839634,N,r
EIN611_1587,1540.5092842443078,0.2600519991456817,518899.8755427599,410015.63737493753,N,r
EIN611_1606,1536.3135501428603,0.3272687463162552,770973.7220565677,558544.7389242053,N,r
EIN84T_1564,1500.9466738968526,0.3135341096130031,259628.37188744545,176311.78941756487,N,r
EIN84T_1633,1604.300364087907,0.37530337561153626,225820.8052905202,182887.13609552383,N,r
EIN84X_1589,1551.9439916153092,0.38112040638527167,928645.0779979229,561056.6350376606,N,r
EJU13CB_1081,1485.0570528874264,0.3468078122553213,714744.5707740784,661235.6026563048,N,r
EJU78CP_1097,1447.3073048028964,0.374219317567748,240235.96921998262,137428.55656450987,N,r
VLG139G_110,1548.3226918539444,0.359429344808421,151471.8140218854,96052.98671072721,N,r
VLG49VA_328,1466.9334261078102,0.45632141255824277,265150.13286072016,251716.34054231644,N,r
AUA3NA_1248,980.0681154222589,0.309281057807467,65366.61773234606,62153.44076400995,N,n
AUA3NA_1264,951.8968175300508,0.3096772007006139,77402.80057734251,74187.6598444581,N,n
EIN611_1587,969.0917570429747,0.2091551694884573,91786.65948176384,88413.2937271595,N,n
EIN611_1606,988.9963609264438,0.2088047373163049,85681.2394092083,80824.98071026802,N,n
EIN84T_1564,947.3182111955118,0.2120907703490355,107777.46209096909,91311.47123408318,N,n
EIN84T_1633,977.2061012011877,0.21742152701174883,120325.63914442062,95845.52716517448,N,n
EIN84X_1589,988.9235152697919,0.2161152758050896,123672.76728200912,99209.34730219841,N,n
EJU13CB_1081,1008.3032785417045,0.2859056633105296,44270.92207175493,44267.976424753666,N,n
EJU78CP_1097,1053.1188965133465,0.2894420880456038,48039.27019506693,46723.547982513905,N,n
VLG139G_110,1030.4442065294008,0.30769824148640446,33748.850545048714,29828.369936347008,N,n
VLG49VA_328,947.052753888014,0.334361139451171,29994.99044239521,23095.877128005028,N,n
AUA3SV_1122,942.0397539455935,0.4173699133866202,117349.38584133983,95270.32947669923,D,f
DLH4UX_557,971.1488077405952,0.40373296872783193,118521.3865852058,96482.48281084001,D,f
EIN60R_1659,974.2502745628148,0.2090459411882861,118374.2872992605,116468.03365086019,D,f
EIN611_1579,1001.5164273700549,0.20670425560427808,129344.15724526346,121487.64667890966,D,f
EIN84X_1515,977.8133183734842,0.26123512714015473,148347.64229737222,124318.1309928745,D,f
EZY16MH_978,923.5364784950541,0.20343438355259874,91007.64690338075,89126.326003775,D,f
ITY109_1534,947.9278104990624,0.3815957720709419,129466.88464531302,97599.78958676755,D,f
ITY121_1784,986.175720511601,0.34343406719947367,108309.92643079162,100567.39680193365,D,f
VLG41JT_193,951.0588332052605,0.38609828755460207,80663.90167926252,66074.24947284162,D,f
VLG8379_316,955.1841323355723,0.26163606457668,142603.59004174173,119574.28528021276,D,f
VLG98RR_135,966.622929980361,0.2638829127815706,153195.90032349527,124689.31675337255,D,f
AUA3SV_1122,1582.7306680806623,0.47021024673866596,833009.4123130292,621391.9710151404,D,r
DLH4UX_557,1461.7570627917241,0.5211727857900234,1253990.756206587,811920.0782126039,D,r
EIN60R_1659,1538.97818086793,0.31069240258167896,380438.45170873404,236063.09134431183,D,r
EIN611_1579,1558.0428214282133,0.30787301319884935,261031.5675160885,209132.0994528532,D,r
EIN84X_1515,1542.5769610007073,0.3264888285445011,333934.9452546835,233507.0194696188,D,r
EZY16MH_978,1502.6499696459155,0.2915996646631062,164885.33632664382,144542.14247520268,D,r
ITY109_1534,1550.9461393686597,0.48693625542451113,931786.2529022545,667617.8867492527,D,r
ITY121_1784,1526.4911366892468,0.41702814878867284,1019963.6464789808,794287.5465632528,D,r
VLG41JT_193,1513.8877044655105,0.4980705676284454,154457.04744566977,126553.29214827716,D,r
VLG8379_316,1561.5368654764845,0.40747180386742465,329949.90317104757,218596.13730974495,D,r
VLG98RR_135,1618.6199200573362,0.328659353801651,787345.9487560838,630021.5081095546,D,r
AUA3SV_1122,946.3235260324814,0.4070527109079858,123876.59102007747,101790.4976323694,D,n
DLH4UX_557,972.5722147874349,0.39978008820877065,124140.18239328265,102101.27861891687,D,n
EIN60R_1659,974.3070584952604,0.2086728624918785,116194.2476953119,114287.9940469116,D,n
EIN611_1579,1001.6070566994806,0.20628308222032185,128813.66637931764,120957.15581296384,D,n
EIN84X_1515,980.6648326034785,0.2337492777166837,145774.23914800584,121465.90743945539,D,n
EZY16MH_978,923.6181880464042,0.2030873572464684,92211.33453308046,91030.64009831846,D,n
ITY109_1534,948.8171067997956,0.3783887500977069,124347.33060535789,92480.23554681242,D,n
ITY121_1784,986.5479710675595,0.3408510423144301,108737.80604472756,100995.2764158696,D,n
VLG41JT_193,957.8227820287476,0.36333055676698633,80354.70782397687,65765.05561755598,D,n
VLG8379_316,959.377514315986,0.23376566978027546,142882.1252487749,119574.00008319318,D,n
VLG98RR_135,972.3229044526854,0.23389769763717544,141448.85257421434,117140.52086566389,D,n
DLH3A_603,938.8700488141617,0.7036623692488672,165886.40324354172,139135.01719617844,DN,f
EIN60Y_1710,999.9825390970626,0.4418024786174184,204701.60133361816,187713.40776062012,DN,f
EIN611_1579,1001.5164273700549,0.44184181259735184,218920.6692047119,201932.47563171387,DN,f
EIN84T_1587,974.0762016520948,0.5361204712247025,220942.30996704102,188174.5598602295,DN,f
EIN84X_1515,977.8133183734842,0.539749190516937,227398.11546325684,194359.1749572754,DN,f
EJU42KM_1219,804.4968939836115,0.8229688036320695,531007.1518096924,415990.90336608887,DN,f
EJU5284_1390,799.3573380341496,0.8192674246616235,502994.46488952637,395338.3522491455,DN,f
EZS39RG_1538,962.825002653014,0.6569533301400922,99236.7687959671,90873.20745563507,DN,f
EZY84JU_960,940.1917588362928,0.4399931520995912,184747.2728881836,173115.1711730957,DN,f
ITY113_1804,965.4492643326614,0.6150322965012873,1262.308349609375,1262.308349609375,DN,f
SAS62L_1257,968.3418384092658,0.5585645357488018,475203.02111816406,445067.37104797363,DN,f
TRA6875_1499,939.8684062307682,0.7148401850839785,167952.05525922775,137572.74007368088,DN,f
VLG12BR_219,1000.2643078176211,0.7169696782346484,168464.15424251556,141910.8165655136,DN,f
DLH3A_603,1425.486981479282,0.8092715398751066,543212.6011953354,256774.35478162766,DN,r
EIN60Y_1710,1541.8862323891888,0.600575161338657,407022.7615623474,217798.47886276245,DN,r
EIN611_1579,1558.0428214282133,0.6443800263121742,508157.2762069702,394117.59411621094,DN,r
EIN84T_1587,1421.628624701087,0.7328103967089536,830853.0579366684,413973.6152639389,DN,r
EIN84X_1515,1542.5769610007073,0.685799523444983,881387.2151184082,596347.990776062,DN,r
EJU42KM_1219,1193.0691596987044,0.9041595389855925,2084527.5558228493,1120806.4858078957,DN,r
EJU5284_1390,1269.119927408341,0.8432291354678225,480297.3380007744,266145.96833372116,DN,r
EZS39RG_1538,1389.7763727562256,0.6626936466427007,246590.50784254074,144934.71542310715,DN,r
EZY84JU_960,1430.0440096066582,0.5671224907610615,221384.73632717133,153321.37664699554,DN,r
ITY113_1804,1455.0417263168238,0.7889026100513653,4641.6525802612305,4362.064262390137,DN,r
SAS62L_1257,1527.4027261774231,0.6747381634282501,1622942.5455856323,1223061.423362732,DN,r
TRA6875_1499,1633.595257145343,0.9663987997365945,355479.3324203491,287275.6104812622,DN,r
VLG12BR_219,1609.1229892089655,0.8009820501753038,665692.277130127,400856.43567848206,DN,r
DLH3A_603,939.4869331810139,0.7009783538418366,173483.57438659668,145038.64250183105,DN,n
EIN60Y_1710,1000.2230853490923,0.4400088477372296,199246.03982543945,182257.8462524414,DN,n
EIN611_1579,1000.5259762428093,0.4425915560961752,200478.22665405273,184003.81414794922,DN,n
EIN84T_1587,982.3554587124041,0.48358168373454125,212144.99043273926,183969.33169555664,DN,n
EIN84X_1515,985.2053647332094,0.487763214870375,216266.06038665771,186090.24893951416,DN,n
EJU42KM_1219,808.8537353664327,0.7991999023811783,525199.0628967285,414917.17932128906,DN,n
EJU5284_1390,805.3464226429503,0.7919791863251666,474324.6191558838,369514.89750671387,DN,n
EZS39RG_1538,962.8305838444358,0.6564779007269392,99992.99048614502,91629.42914581299,DN,n
EZY84JU_960,940.579257749162,0.43897403816995095,176821.32772827148,164491.06202697754,DN,n
ITY113_1804,984.3989989282244,0.6067196912667572,2229.428192138672,2229.428192138672,DN,n
SAS62L_1257,968.5281784934527,0.5566792602261093,452917.3455810547,422781.69551086426,DN,n
TRA6875_1499,940.0745608553214,0.712227201346989,178178.57497406006,147625.1151046753,DN,n
VLG12BR_219,1007.7199776965541,0.6842502542165153,157861.65902614594,129927.38348293304,DN,n
