ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
0.0,-75293.78965075457,57047.54543981037,30.480000005493064,52.31661636530501,4.746295636535247,100.0,0.5,330.63,3500.0,125.68,35.16,77965.0,107773.0,AUA3SV_1122,0.0485944551849465
20.0,-72537.29856467184,55067.923168957575,387.89832189413386,52.299186159599984,4.787271477820221,1273.0,0.5471,360.33,3500.0,120.68,34.21,77931.0,100315.0,AUA3SV_1122,0.05012878090079114
40.0,-69353.84405291855,53178.87728377902,745.3166444998768,52.28261025156997,4.834472083521077,2445.0,0.5936,389.36,3500.0,115.68,33.09,77898.0,93584.0,AUA3SV_1122,0.04201789455744786
60.0,-65746.8549882114,51444.137033665174,1102.7349671569298,52.26745386806191,4.887830385886924,3618.0,0.6385,417.06,3500.0,114.33,31.88,77866.0,87590.0,AUA3SV_1122,0.0358214811388061
80.0,-61838.63310180077,49676.648783530196,1460.1532898986547,52.25201291859894,4.945583060968141,4791.0,0.6811,443.03,3500.0,111.87,30.63,77835.0,82297.0,AUA3SV_1122,0.030277417757840482
101.0,-57608.60775300681,47978.498136798364,1817.571612738845,52.23720112412421,5.008009043140651,5963.0,0.7211,467.08,3500.0,111.04,29.38,77806.0,77643.0,AUA3SV_1122,0.02618492747982751
121.0,-53122.250374250616,46252.449751492015,2174.9899356711812,52.22213038535335,5.074160585451499,7136.0,0.7583,489.15,3500.0,111.75,28.18,77777.0,73552.0,AUA3SV_1122,0.02288599911071026
141.0,-48445.437268407244,44386.85103075951,2532.408258684936,52.205784602006304,5.143082133781478,8308.0,0.7929,509.3,3500.0,113.84,27.05,77750.0,69953.0,AUA3SV_1122,0.020590000808646612
161.0,-43649.26306855839,42267.51463587113,2889.8265817703495,52.18712642700731,5.213736683083146,9481.0,0.82,524.44,3500.0,116.82,26.1,77724.0,67112.0,AUA3SV_1122,0.018658706163514803
181.0,-38830.290506881574,39830.878921688236,3247.2449047945,52.16557433238842,5.2847026747389,10654.0,0.82,522.17,3500.0,119.79,26.02,77698.0,66878.0,AUA3SV_1122,0.016715194740853093
201.0,-34164.32667402011,37159.77628641801,3604.6632277140466,52.14186176921941,5.3533814014580825,11826.0,0.82,519.89,3500.0,122.67,26.1,77672.0,67112.0,AUA3SV_1122,0.015036825856660076
221.0,-29658.300327423218,34270.4767113424,3962.081550534765,52.116138603917946,5.4196637156524865,12999.0,0.82,517.61,3500.0,125.28,26.15,77646.0,67257.0,AUA3SV_1122,0.01386619980783906
241.0,-25308.061239423623,31192.48010582353,4319.499873259581,52.08867428935652,5.483603425641027,14172.0,0.82,515.31,3500.0,127.15,26.17,77620.0,67313.0,AUA3SV_1122,0.012940982413914332
261.0,-21079.280854278266,27988.98554400061,4676.918195888873,52.0600422322182,5.545695646745903,15344.0,0.82,513.0,3500.0,128.18,26.16,77594.0,67279.0,AUA3SV_1122,0.011806306427088709
281.0,-16927.910652664454,24724.417552699124,5034.336518423099,52.030826015913384,5.606579801208386,16517.0,0.82,510.69,3500.0,128.77,26.12,77568.0,67154.0,AUA3SV_1122,0.011333989613797746
302.0,-12828.838039456023,21432.730993827954,5391.754840860288,52.00133339907368,5.666621505599216,17689.0,0.82,508.36,3500.0,129.44,26.04,77542.0,66939.0,AUA3SV_1122,0.011157450500938873
322.0,-8787.580998468206,18108.252634314314,5749.173163196688,51.97151450727273,5.725740980694467,18862.0,0.82,506.02,3500.0,130.21,25.94,77516.0,66635.0,AUA3SV_1122,0.011149624103521697
342.0,-4810.006114959174,14745.347470631643,6106.591485365909,51.941319947117755,5.783853344836205,20035.0,0.82,503.67,3500.0,130.76,25.81,77490.0,66242.0,AUA3SV_1122,0.007886474340840997
362.0,-882.9139329774583,11360.898015910807,6464.009805047193,51.91090300297555,5.841151626306142,21207.0,0.82,501.31,3500.0,130.81,25.64,77464.0,65762.0,AUA3SV_1122,0.0
382.0,3022.5768775073043,7988.953345683729,6821.428122678169,51.880570857085836,5.898057750526435,22380.0,0.82,498.94,3500.0,130.81,25.44,77439.0,65197.0,AUA3SV_1122,0.0
402.0,6909.416003162054,4633.11225690464,7178.8464398857,51.85035634298263,5.954615889842678,23553.0,0.82,496.56,3500.0,130.81,25.21,77413.0,64547.0,AUA3SV_1122,0.0
422.0,10777.513525751423,1293.4524035862846,7536.264756652794,51.82026062781373,6.010825921193571,24725.0,0.82,494.16,3500.0,130.81,24.96,77389.0,63818.0,AUA3SV_1122,0.0
442.0,14626.778203357115,-2029.9474381537102,7893.683072970412,51.790284896868705,6.066687747952225,25898.0,0.82,491.76,3462.0,130.81,24.67,77364.0,63010.0,AUA3SV_1122,0.0
462.0,18457.422529927804,-5337.270733082522,8247.25044009689,51.760427949815444,6.122205670804655,27058.0,0.8184,488.42,2962.0,130.81,24.36,77340.0,62174.0,AUA3SV_1122,0.0
482.0,22265.737162065587,-8625.314885703936,8549.758057664429,51.73071917961365,6.177327226280881,28050.0,0.82,487.31,2462.0,130.81,24.06,77315.0,61335.0,AUA3SV_1122,0.0
503.0,26068.757347417944,-11908.787889844778,8801.205920929191,51.70102603582788,6.232299885518956,28875.0,0.8178,484.29,1962.0,130.81,23.81,77292.0,60673.0,AUA3SV_1122,0.0
523.0,29851.205057293086,-15174.498927060706,9001.59402872308,51.671468127434615,6.2869036499847635,29533.0,0.8097,478.11,1462.0,130.81,23.65,77268.0,60236.0,AUA3SV_1122,0.0
543.0,33588.0169071988,-18400.80862325491,9150.922381048564,51.64224203400356,6.340778677052419,30023.0,0.8016,472.34,962.0,130.81,23.05,77245.0,58636.0,AUA3SV_1122,0.0
563.0,37281.97596441232,-21590.119853383523,9249.190979127176,51.61332692119435,6.393967663315919,30345.0,0.793,466.61,462.0,130.81,19.73,77225.0,50238.0,AUA3SV_1122,0.0
583.0,40933.039732770754,-24742.395905296315,9296.399827798763,51.5847240132987,6.44647245726554,30500.0,0.7838,460.92,0.0,130.81,16.45,77209.0,42401.0,AUA3SV_1122,0.0
603.0,44540.969223407825,-27857.43046831309,9296.39983727472,51.55643606285518,6.498292055733808,30500.0,0.7838,460.91,0.0,130.81,16.44,77192.0,42394.0,AUA3SV_1122,0.0
623.0,48148.8441210853,-30972.41789477599,9296.399846540664,51.52812576726836,6.550046456204386,30500.0,0.7838,460.91,0.0,130.81,16.44,77176.0,42388.0,AUA3SV_1122,0.0
643.0,51756.66437717012,-34087.35815775168,9296.39985560524,51.49979317918982,6.601735754633516,30500.0,0.7838,460.9,0.0,130.81,16.44,77159.0,42381.0,AUA3SV_1122,0.0
663.0,55364.42995678617,-37202.25119693128,9296.399864476645,51.47143835146227,6.6533600472031535,30500.0,0.7838,460.89,0.0,130.81,16.43,77143.0,42374.0,AUA3SV_1122,0.0
683.0,58972.140779615205,-40317.097001874856,9296.3998731626,51.44306133637544,6.704919429457246,30500.0,0.7838,460.89,0.0,130.81,16.43,77127.0,42368.0,AUA3SV_1122,0.0
704.0,62579.79679323873,-43431.89552332791,9296.399881670346,51.414662186456106,6.75641399737606,30500.0,0.7837,460.88,0.0,130.81,16.43,77110.0,42361.0,AUA3SV_1122,0.0
724.0,66187.39799185154,-46546.646661297105,9296.39989000673,51.38624095457167,6.807843847649186,30500.0,0.7837,460.87,0.0,130.81,16.43,77094.0,42354.0,AUA3SV_1122,0.0
744.0,69794.9443058696,-49661.35039775634,9296.3998981782,51.35779769274874,6.859209076059837,30500.0,0.7837,460.87,0.0,130.81,16.42,77077.0,42348.0,AUA3SV_1122,0.0
764.0,73402.43567482375,-52776.00669467841,9296.399906190863,51.32933245308232,6.910509778553282,30500.0,0.7837,460.86,0.0,130.81,16.42,77061.0,42341.0,AUA3SV_1122,0.0
784.0,77009.8833046165,-55890.60408944729,9296.3999140505,51.30084538875047,6.961746215619652,30500.0,0.7837,460.85,0.0,130.81,16.42,77044.0,42335.0,AUA3SV_1122,0.0
0.0,-76349.2027771291,61453.07847625263,30.480000044519613,52.31661631054132,4.746295296210114,100.0,0.5,330.63,3500.0,127.33,36.34,77964.0,107773.0,DLH4UX_557,0.04859441968152594
21.0,-73559.96808633205,59325.73526198733,399.9528832220992,52.29786739756259,4.787790914223479,1312.0,0.5487,361.34,3500.0,122.33,35.33,77928.0,100074.0,DLH4UX_557,0.04997334712691175
42.0,-70317.82158320163,57273.54555545334,769.4257665000491,52.27983779434537,4.835892370142485,2524.0,0.5968,391.3,3500.0,121.44,34.13,77894.0,93153.0,DLH4UX_557,0.041720867254531564
