fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3NA_1248,1092.5946968558305,0.2878048220393031,69479.69131499529,61285.73184543848,N,n
AUA3NA_1264,1038.8025696201912,0.2986050328518163,75660.87932127714,73687.81976515055,N,n
EIN611_1587,1025.1855961425235,0.21205666902048106,91516.95220637321,88143.58645176888,N,n
EIN611_1606,1045.257112431028,0.21244078596123026,96018.83816409111,87334.43383526802,N,n
EIN84T_1564,1030.7747441835463,0.208237426417993,107777.46209096909,91311.47123408318,N,n
EIN84T_1633,1056.6838802647555,0.2141357736710695,119870.13777303696,95564.7987716198,N,n
EIN84X_1589,1069.1772911058395,0.21304528725101765,123311.42808675766,99006.0890853405,N,n
EJU13CB_1081,1157.2413170270697,0.2713279928418406,42248.95807439089,42246.01242738962,N,n
EJU78CP_1097,1198.533752725767,0.2799031953438616,47869.41513520479,47377.492101728916,N,n
VLG139G_110,1245.1909974387158,0.27247464629622614,26128.457127332687,23806.48088145256,N,n
VLG49VA_328,1043.9397858821585,0.32578538008605673,27443.536719441414,22953.5643504858,N,n
