fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
DLH3A_603,1046.1435203404058,0.6143043061476636,161030.87581634521,135738.97521209717,DN,n
EIN60Y_1710,998.7699519244877,0.4461562205582742,199246.03982543945,182257.8462524414,DN,n
EIN611_1579,996.9221629764743,0.44943963042822566,197245.88711547852,180257.69354248047,DN,n
EIN84T_1587,1046.7804736396488,0.46282664755226144,211329.46073150635,185180.65502166748,DN,n
EIN84X_1515,1063.9115043424645,0.4736672562996626,215597.73188781738,186927.61135864258,DN,n
EJU42KM_1219,858.4200001660975,0.7642630120742459,506344.1419067383,399500.0245513916,DN,n
EJU5284_1390,837.3545957315014,0.7390394251975798,451028.8812408447,362409.46101379395,DN,n
EZS39RG_1538,1159.2844475178442,0.5809907552514118,86182.5380935669,85631.31977081299,DN,n
EZY84JU_960,968.2282863633703,0.4402665740407413,174664.25772094727,161820.2109527588,DN,n
ITY113_1804,1163.379246336216,0.5427452842823118,1669.6364212036133,1669.6364212036133,DN,n
SAS62L_1257,1002.3004004371833,0.5309564595825427,459592.86612701416,439907.5620651245,DN,n
TRA6875_1499,1047.8628844983195,0.6163051082516791,171208.23503112793,144627.22395324707,DN,n
VLG12BR_219,1179.5531501008836,0.6146348022917283,146766.52007198334,133971.5937719345,DN,n
