fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3SV_1122,1207.9732845297672,0.3234962831968307,104580.52689871192,91640.29237483442,D,n
DLH4UX_557,1074.516010121442,0.3344343528145075,114357.58317920566,96315.96511040628,D,n
EIN60R_1659,973.8918345855329,0.2096847411553106,111898.02715049684,109350.15198110044,D,n
EIN611_1579,998.4508698764782,0.20919180666772852,123551.4151109308,115669.97179578245,D,n
EIN84X_1515,1011.2331244153694,0.22081141016511313,139374.3034106344,118985.228732571,D,n
EZY16MH_978,930.0289026918649,0.20367696285722378,96420.05868373811,94538.73778413236,D,n
ITY109_1534,1086.1234173046719,0.3318677709129291,108912.50865474343,101169.97902588546,D,n
ITY121_1784,1151.5735608002112,0.31113730483092794,105615.63129124045,98208.03965066373,D,n
VLG41JT_193,1099.4635426970458,0.3389301285881055,77625.22129367292,67776.85668490827,D,n
VLG8379_316,991.6970462982476,0.21975024512319713,142897.11081181467,118892.07959078252,D,n
VLG98RR_135,1003.173300977061,0.22236516768964243,142750.4532443136,118745.42202328146,D,n
