fid,people_affected
AUA3NA_1248,318868.9853210449
AUA3NA_1264,320795.52629470825
EIN611_1587,309357.1848182678
EIN611_1606,320415.3819580078
EIN84T_1564,279096.3472061157
EIN84T_1633,318337.51653862
EIN84X_1589,311937.5821609497
EJU13CB_1081,227881.19660186768
EJU78CP_1097,240185.05869865417
VLG139G_110,242466.58197689056
VLG49VA_328,264395.4718465805
