fid,people_affected
AUA3NA_1248,298597.7664461136
AUA3NA_1264,299998.040933609
EIN611_1587,303422.2836456299
EIN611_1606,323886.38972473145
EIN84T_1564,282586.2012462616
EIN84T_1633,302931.20076942444
EIN84X_1589,295722.0033016205
EJU13CB_1081,206233.50215530396
EJU78CP_1097,243677.0951271057
VLG139G_110,256281.48655700684
VLG49VA_328,297809.7305755615
