fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3NA_1248,1092.5946968558305,0.2878048220393031,13602.139967918396,13602.139967918396,N,n
AUA3NA_1264,1038.8025696201912,0.2986050328518163,11306.498854637146,11306.498854637146,N,n
EIN611_1587,1025.1855961425235,0.21205666902048106,7716.357316970825,7716.357316970825,N,n
EIN611_1606,1045.257112431028,0.21244078596123026,5508.869585037231,5508.869585037231,N,n
EIN84T_1564,1030.7747441835463,0.208237426417993,21180.023860931396,21180.023860931396,N,n
EIN84T_1633,1056.6838802647555,0.2141357736710695,25796.89666366577,25796.89666366577,N,n
EIN84X_1589,1069.1772911058395,0.21304528725101765,28203.872859954834,28203.872859954834,N,n
EJU13CB_1081,1157.2413170270697,0.2713279928418406,4573.117926120758,4573.117926120758,N,n
EJU78CP_1097,1198.533752725767,0.2799031953438616,4640.86781167984,4640.86781167984,N,n
VLG139G_110,1245.1909974387158,0.27247464629622614,417.2544631958008,417.2544631958008,N,n
VLG49VA_328,1043.9397858821585,0.32578538008605673,1537.7566032409668,1537.7566032409668,N,n
