fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3SV_1122,1207.9732845297672,0.3234962831968307,572776.0342551768,386608.5831863135,D,n
DLH4UX_557,1074.516010121442,0.3344343528145075,543977.1733359396,361996.7135364264,D,n
EIN60R_1659,973.8918345855329,0.2096847411553106,584557.5441955775,350867.34296540916,D,n
EIN611_1579,998.4508698764782,0.20919180666772852,591890.8563942164,356832.6650021523,D,n
EIN84X_1515,1011.2331244153694,0.22081141016511313,496449.61395691335,291565.45912157,D,n
EZY16MH_978,930.0289026918649,0.20367696285722378,520612.2846163362,334955.41209577024,D,n
ITY109_1534,1086.1234173046719,0.3318677709129291,443010.93805387616,292103.6263614148,D,n
ITY121_1784,1151.5735608002112,0.31113730483092794,412972.1081534922,300059.56669048965,D,n
VLG41JT_193,1099.4635426970458,0.3389301285881055,471843.7592701614,332230.5537055582,D,n
VLG8379_316,991.6970462982476,0.21975024512319713,491653.7346100658,286302.98380075395,D,n
VLG98RR_135,1003.173300977061,0.22236516768964243,497153.4082417339,291626.5902289003,D,n
